ROOT,EKUMENSKI,NATLANG ANCESTRY,AUXLANG ANCESTRY,PART OF SPEECH,ENGLISH
KVIKSILBER,kviksilber,,,n.,mercury; quicksilver
KVIN,kvin,,,num.,five
KVIN,kvindes,,,num.,fifty
KVIN,kvinti,,,adj.,fifth
KVIRL,kvirle,G,,v.,stir
KVIST,kvist,G,,n.,twig (= branšlet)
KVITR,kvitre,G,,v.,twitter
KVO,kvo,,,pron.,what
KVO,kvo ever,,,det.,whatever
KVO,kvo pase?,,,expr.,what is it?
LABORATORIA,laboratoria,,,n.,laboratory
LAC,lac,,,n.,bib
LAD,ladabli,G,,adj.,"loadable, chargeable"
LAD,lade,,,v.,"load, charge"
LAD,ladnis,,,n.,"loading, charge"
LAF,lafard,G,,n.,coward
LAF,lafi,,,adj.,coward
LAF,lafnis,,,n.,cowardice
LAGUN,lagun,,,n.,lagoon
LAJ,laj,G,,n.,lie
LAJ,laje,,,v.,lie
LAJ,lajer,,,n.,liar
LAJSK,lajski,"U,B",,adj.,lazy
LAJSK,lajskica,,,n.,sloth
LAJSK,"lajskin, lajskiard",,,n.,lazybones
LAJSK,lajsknis,,,n.,lazyness
LAJT,lajti,G,,adj.,light (not heavy)
LAJT,lajtindustria,,,n.,light industry
LAK,lak,,,n.,"varnish, laquer"
LAK,lake,,,v.,laquer
LAKAJ,lakaj,,,n.,lackey
LAKMUS,lakmus,,,n.,litmus
LAKT,lakte,,,v.,lactate
LAKT,laktoza,,,n.,lactose
LAM,lam,,,n.,blade
LAM,lamabra,,,n.,scabbard
LAMENT,lamentabli,,,adj.,lamentable
LAMENT,lamentard,,,n.,sissy
LAMENT,lamente,,,v.,lament
LAMP,lamp,,,n.,lamp
LAMP,lampion,,,n.,paper lantern
LAMP,lamplet,,,n.,"flashlight, pocket lamp"
LAND,land,G,,n.,"country, land"
LAND,lande,,,v.,land
LAND,landkart,,,n.,map (> map?)
LANS,lans,,,n.,"lance, spear"
LARK,lark,G,,n.,lark
LARM,larm,,,n.,tear
LARM,larmdrop,,,n.,teardrop
LARVA,larva,,,n.,larva
LASA,lasa,,,n.,leash
LASCIV,lascivi,,,adj.,lascivous
LASE,lase,,,v.,"leave, let"
LASE,lase me helpe te,,,expr.,let me help you
LASE,lase me in pax,,,expr.,leave me alone
LASK,laske,S,,v.,flatter
LASK,lasknis,,,n.,flattery
LASO,laso,,,n.,lasso
LAST,last,G,,n.,burden
LAŠ,laši,,,adj.,loose
LAT,lat,,,n.,lath
LATRI,latria,,,n.,worship
LATRI,latrie,,,v.,worship
LATRI,latrier,,,n.,worshipper
LATRIN,latrin,,,n.,latrine
LAUD,laudi,G,,adj.,loud
LAUD,laudnis,,,n.,loudness
LAUREL,laurel,,,n.,laurel
LAVA,lava,,,n.,lava
LAVANDUL,lavandul,,,n.,lavender
LAVIN,lavin,,,n.,avalanche
LAX,laxi,,,adj.,lax
LAX,laxnis,,,n.,laxness
LEFT,lefti,G,,adj.,left
LEFT,leftim,,,adv.,left
LEFT,leftist,,,n.,leftist
LEGA,legali,,,adj.,(= lexli) legal
LEGA,leganis,,,n.,legality
LEGEND,legend,,,n.,legend
LEGEND,legendli,,,adj.,legendary
LEGION,legion,,,n.,legion
LEGION,legionar,,,n.,legionary
LEGITIM,legitimi,,,adj.,legitimate
LEGITIM,legitimim,,,adv.,legitimately
LEGITIM,legitimize,,,v.,legitimize
LEGITIM,legitimiznis,,,n.,"legitimation, legitimization"
LEGUM,legum,,(UG=),n.,vegetables
LEGUM,legumerija,,,n.,"greengrocery, greengrocer’s shop"
LEJ,leje,G,,v.,lie (as in bed); lay
LEJTNANT,lejtnant,,,n.,lieutenant
LEK,lek,G,,n.,leak
LEK,leke,,,v.,leak
LEKCION,lekcion,,,n.,lesson
LEKT,lektabli,,,adj.,readable
LEKT,lekte,,,v.,read
LEKT,lekter,,,n.,reader
LEKT,lektnis,,,n.,reading
LEM,lem,S,,n.,hem (border of an article of clothing)
LEMA,lema,,,n.,lemma
LEND,lenddovolnis,,,n.,permission to land
LEND,lende,,,v.,land
LEND,lendnis,,,n.,landing
LEND,lendplas,,,n.,UNDEFINED
LENE,lene,G,,v.,lean
LENS,lens,,,n.,lense
LENT,lenti,,,adj.,slow
LENT,lentize,,,v.,"slow down, slacken"
LENT,lentnis,,,n.,slowness
LEON,leon,,,n.,lion
LEOPARD,leopard,,,n.,leopard
LEPRA,lepra,,,n.,leprosy
LERKA,lerka,G,,n.,larch
LERM,lerm,G,,n.,noise
LERM,lerme,,,v.,make noise
LERM,lermli,,,adj.,noisy
LERN,lernabli,G,,adj.,learnable
LERN,lerne,,,v.,learn
LERN,lerner,,,n.,learner
LEST,lesti,G,,adj.,last
LEST,lestim,,,adv.,at last
LEST,lestveslim,,,adv.,for the last time
LEV,leve,,,v.,"lift, raise, rise"
LEV,leve se,,,v.,get up
LEVIATAN,leviatan,,,n.,leviathan
LEVIL,levil,,,n.,"lever, leverage"
LEX,lex,,(UG=),n.,law
LEX,lexbrek,,,n.,breach of the law
LEX,lexbreker,,,n.,lawbreaker
LEX,lexli,,,adj.,legal
LEZE,leze,,,v.,"injure, hurt (cause physical/emotional pain and/or injury)"
LEZE,leznis,,,n.,injury
LIBER,liberali,,,adj.,liberal
LIBER,liberalismo,,,n.,liberalism
LIBER,liberalize,,,v.,liberalize
LIBER,liberaliznis,,,n.,liberalization
LIBER,liberi,,,adj.,free
LIBER,liberize,,,v.,free
LIBER,liberiznis,,,n.,liberation
LIBER,libernis,,,n.,"freedom, liberty"
LICENS,licens,,,n.,license
LICENS,license,,,v.,license
LIFER,lifere,,,v.,deliver
LIFER,lifernis,,,n.,delivery
LIG,lige,,,v.,link
LIG,ligil,,,n.,link
LIGA,liga,,,n.,league
LIK,like,G,,v.,lick
LILI,lilia,,,n.,lilly
LILI,liliovi,,,adj.,violet
LIMIN,limin,,,n.,threshold
LIMIT,limit,,,n.,"limit, boundary"
LIMIT,limitabli,,,adj.,limitable
LIMIT,limite,,,v.,limit
LIMIT,limitlesi,,,adj.,limitless
LIMIT,limitnis,,,n.,limitation
LIMONADA,limonada,,,n.,lemonade
LIMP,limpe,G,,v.,limp
LINEN,linen,,,n.,linen
LINGU,lingua,,,n.,"language, tongue"
LINGU,linguistik,,,n.,linguistics
LINGU,linguistiker,,,n.,linguist
LINIA,linia,,,n.,line
LINT,lint,,,n.,lentil
LIP,lip,G,,n.,lip
LIPA,lipa,S,,n.,lindentree
LISKO,lisko,U,,n.,lizard
LIST,list,,,n.,list
LIST,liste,,,v.,list
LIT,lit,H,,n.,stone
LIT,litografia,,,n.,lithography
LOB,lob,,,n.,lob
LOBI,lobi,,,n.,lobby (pressure group)
LOBI,lobiismo,,,n.,lobbyism
LOBI,lobiist,,,n.,lobbyist
LOD,lod,,,n.,praise
LOD,"lodabli, lodverdi",,,adj.,laudable
LOD,lode,,,v.,praise
LOFT,loft,G,,n.,loft
LOGARITM,logaritmiki,,,adj.,logarithmic
LOGARITM,logaritmo,,,n.,logarithm
LOGBUK,logbuk,,,n.,logbook
LOGRE,logre,,,v.,"make, accomplish sth."
LOK,lok,,,n.,"curl, lock (hair)"
LOLIPOP,lolipop,,,n.,lollipop
LOM,lom,,,n.,loin
LON,lone,G,,v.,"lend, borrow"
LON,lonvort,,,n.,loanword
LONG,longi,,,adj.,long
LONG,longize,,,v.,lengthen
LONG,longnis,,,n.,length
LONT,lont,G,,n.,fuse (explosives)
LOPAT,lopat,S,,n.,shovel
LORI,lori,,,pron.,their
LOT,lot,,,n.,lot
LOŽ,lože,,,v.,lodge
LOŽ,ložnis,,,n.,lodging
LOŽA,loža,,,n.,box (in theater)
LUB,lub,S,,n.,love
LUB,lubabli,,,adj.,amiable
LUB,lube,,,v.,love
LUB,luber,,,n.,lover
LUB,lubli,,,adj.,lovely
LUB,lubnajd,,,n.,jealousy
LUB,lubnajdli,,,adj.,jealous
LUDER,luder,G,,n.,hussy
LUDIA,ludia,S,,n.,people
LUDIA,ludiač,,,n.,riff-raff
LUDIK,ludik,U,,n.,bug (heteroptera)
LUFT,luft,G,,n.,air
LUFT,luftfilter,,,n.,air filter
LUFT,luftlesi,,,adj.,"airless, empty of air"
LUFT,luftpolutnis,,,n.,air pollution
LUFT,luftskaf,,,n.,airship
LUG,lug,S,,n.,lye (chem.)
LUK,luk,G,,n.,"look (style, appearance)"
LUKA,luka,G,,n.,hatch
LUKT,lukt,,,n.,struggle
LUKT,lukte,,,v.,struggle
LUMP,lump,,,n.,scoundrel
LUNA,luna,,,n.,moon
LUPA,lupa,,,n.,magnifying glass
LUPUL,lupul,,,n.,hops
LUR,lure,G,,v.,lure
LUR,luril,,,n.,bait
LUS,lus,,,n.,light
LUS,luse,,,v.,light
LUS,lusexmisenti diod (LED),,,n.,light-emitting diode (LED)
LUS,lustorn,,,n.,lighthouse
LUST,lust,G,,n.,lust
LUST,have lust pro,,,expr.,feel like …ing
LUST,luste,,,v.,"crave, desire, long for"
LUT,lut,,,n.,solder
LUT,lute,,,v.,solder
LUT,"lutil, lutfjer",,,n.,soldering iron
LUZ,luze,G,,v.,lose
LUZ,luzer,,,n.,loser
LUZ,luznis,,,n.,loss
MA,ma,,,conj.,but
MAČ,mač,G,,n.,"mud, slush, mush"
MAER,maer,,,n.,mayor
MAER,maeria,,,n.,"town hall, city hall"
MAGIK,magik,,,n.,magic
MAGIK,magiker,,,n.,magician
MAGIK,magikli,,,adj.,magic
MAGMA,magma,,,n.,magma
MAGNET,magnet,,,n.,magnet
MAGNET,magnetfeld,,,n.,magentic field
MAGNET,magnetismo,,,n.,magnetism
MAGNET,magnetkern,,,n.,magnetic core
MAGNET,magnetli,,,adj.,magnetic
MAGNEZIUM,magnezium,,,n.,magnesium
MAJ,maj,,,n.,May
MAJESTET,majestet,,,n.,majesty
MAJL,majl,,,n.,mile
MAJONEZA,majoneza,,,n.,mayonnaise
MAJOR,major,,,n.,major (milit. rank)
MAJS,majs,,,n.,"corn, maize"
MAJSTER,majster,G,,n.,master
MAJSTER,majstere,,,v.,master
MAJSTER,majsterli,,,adj.,"masterful, masterly"
MAJSTER,majsternis,,,n.,mastery
MAJSTER,majsterpjes,,,n.,masterpiece
MAK,mak,S,,n.,papaver
MAKLER,makler,G,,n.,broker
MAKREL,makrel,,,n.,mackerel
MAKROFON,makrofon,,,n.,loudspeaker
MAKT,makt,G,,n.,"power (capability or influence; people in charge of legal or political power; influential nation, company etc.)"
MAKT,maktlesi,,,adj.,powerless
MAKT,maktlesnis,,,n.,powerlessness
MAKT,maktli,,,adj.,"mighty, powerful"
MALAKIT,malakit,,,n.,malachite
MALDENK,maldenk,,,n.,"faulty reasoning, logical fallacy"
MALDIKT,maldikte,,,v.,swear (use obscene words for insults etc.; cf. jure)
MALDIKT,maldiktvort,,,n.,swearword
MALDRAUM,maldraum,,,n.,= horordraum
MALDUKTE,maldukte,,,v.,mislead
MALFUNCION,malfuncion,,,n.,malfunction
MALGLIK,malglik,,,n.,bad luck
MALI,mali,,,adj.,bad
MALI,malinis,,,n.,badness
MALKRED(NIS),malkred(nis),,,n.,superstition
MALKRED(NIS),"malkred(nis)li, malkred(nis)ivi",,,adj.,superstitious
MALM,malm,G,,n.,ore
MALPASNIS,malpasnis,,,n.,mishap
MALSPENS,malspense,,,v.,waste
MALSPENS,malspensnis,,,n.,waste (of resources; cf. skart)
MALSTREL,malstrel,,,n.,"miss, missed shot"
MAMUT,mamut,,,n.,mammouth
MANDARIN,mandarin,,,n.,mandarin (hist. Chinese bureaucrat)
MANDARIN,mandarinski,,,adj.,Mandarin (Chinese standard language)
MANDLA,mandla,,,n.,almond
MANDOLIN,mandolin,,,n.,mandolin
MANEKIN,manekin,,,n.,mannequin
MANGAN,mangan,,,n.,mangan
MANIA,mania,,,n.,insanity
MANIA,maniali,,,adj.,insane
MANK,mank,,,n.,"lack, want"
MANK,manke,,,v.,"lack, miss"
MANK,il manke nos tajm,,,expr.,we lack time
MANK,mankenti ligil,,,n.,missing link
MANOVR,manovra,,,n.,maneuver
MANOVR,manovrabli,,,adj.,maneuverable
MANOVR,manovrablinis,,,n.,maneuverability
MANOVR,manovre,,,n.,maneuver
MANTEL,mantel,,,n.,coat (clothing)
MANTENT,mantente,,,v.,maintain
MANTENT,mantentnis,,,n.,maintenance
MANUFAKT,manufakte,,,v.,manufacture
MANUFAKT,manufakter,,,n.,manufacturer
MANUFAKT,manufakterija,,,n.,manufactory
MAR,mar,,(UG=),n.,sea
MAR,margrunt,,,n.,seabed
MAR,"mariner, maronaut",,,n.,seaman
MARGARIN,margarin,,,n.,margarine
MARKET,market,,,n.,market
MARKET,marketforšnis,,,n.,market research
MARKET,marketnis,,,n.,marketing
MARL,marl,,,n.,marl
MARMOR,marmor,,,n.,marble
MARS,Mars,,,n.,Mars
MARŠ,marš,,,n.,march
MARŠ,marša,,,n.,gear (motor car transmission)
MARŠ,marše,,,v.,march
MART,mart,,,n.,March (month)
MAS,mas,,,n.,mass (quantity of matter; crowd)
MAS,masaža,,,n.,massage
MAS,masaže,,,v.,massage
MAS,masažer,,,n.,masseur
MAS,masmedias,,,n.,mass media
MASK,mask,,,n.,mask
MASK,maske,,,v.,mask
MASK,maskeni,,,adj.,masked
MASK,masknis,,,n.,masking
MAST,mast,G,,n.,mast
MAŠ,maše,,,v.,chew
MAŠ,mašgum,,,n.,chewing gum
MAŠIN,mašin,,,n.,machine
MAŠIN,mašinpistol,,,n.,machine pistol
MAŠIN,mašinskjop,,,n.,machine gun
MAŠIN,mašinstruktnis,,,n.,engineering (mechanical engineering)
MATA,mata,,,n.,mat
MATEMATIK,matematik,,,n.,mathematics
MATEMATIK,matematiker,,,n.,mathematician
MATEMATIK,matematikli,,,adj.,mathematical
MATER,mater,,,n.,mother
MATERI,materia,,,n.,matter
MATERI,material,,,n.,material
MATERI,materiali,,,adj.,material
MATERI,materialismo,,,n.,materialism
MATERI,materialize,,,v.,materialize
MATERI,materializnis,,,n.,materialization
MATERLI,materli,,,adj.,"motherly, maternal"
MATERLI,materlilingua,,,n.,mother tongue
MATERLI,materlinis,,,n.,maternity
MATRIX,matrix,,,n.,matrix
MAUL,maul,,,n.,mouth (of an animal; of a person: derogatory)
MAUL,maulheld,,,n.,"bragger, loudmouth"
MAUL,Tente maul!,,,expr.,Shut up!
MAUS,maus,G,(UG=),n.,mouse
MAZOKISMO,mazokismo,,,n.,masochism
ME,me,,,pron.,"I, me"
ME,mei,,,pron.,"my, mine"
MEČ,meč,G,,n.,match (sports)
MEDI,medi,,,v.,Median (> madi?)
MEDIA,media,,,n.,medium
MEDIA,medias,,,n./pl.,media
MEDICIN,medicin,,,n.,medicine
MEDIK,medik,,,n.,"doctor, physicist"
MEDIK,medikli,,,adj.,medical
MEDIK,na medikli rad,,,expr.,on medical advice
MEDIT,medite,,,v.,meditate
MEDIT,meditnis,,,n.,meditation
MEDLEJ,medlej,,,n.,medley (collection of related songs)
MEJE,meje,G,,v.,mow
MEJN,mejn-,,,pref.,main
MEJN,mejnbenfit,,,n.,key benefit
MEJN,mejninit,,,n.,main entrance
MEJN,mejnkoza,,,n.,main thing
MEJN,mejnproblem,,,n.,main problem
MEJN,mejnprodukt,,,n.,main product
MEJN,mejnstrada,,,n.,mainstreet
MEJN,mejnsurs,,,n.,main source
MEJNLIM,mejnlim,,,adv.,mainly
MEKAN,mekanik,,,n.,mechanics
MEKAN,mekaniker,,,n.,"mechanic, mechanician"
MEKAN,mekanikli,,,adj.,mechanical
MEKAN,mekanismo,,,n.,mechanism
MEL,mel,G,,n.,flour
MELA,mela,M,,interj.,well…
MELANKOLI,melankolia,,,n.,melancholy
MELANKOLI,melankoliali,,,adj.,melancholic
MELANOM,melanom,,,n.,melanoma
MELISA,melisa,,,n.,lemonbalm
MELODRAMA,melodrama,,,n.,melodrama
MELODRAMA,melodramali,,,adj.,melodramatic
MELON,melon,,,n.,melon
MEM,mem,,,n.,meme
MEMBER,member,,,n.,member
MEMBER,membernis,,,n.,membership
MEMBRAN,membran,,,n.,membrane
MEMOR,memor,,,n.,memory
MEMOR,memorabli,,,adj.,memorable
MEMOR,memore,,,v.,"remember, recall; remind"
MEMOR,memornis,,,n.,remembrance
MEN,men,,,pron.,"one, you (impersonal pronoun; cf. FR on, DE man, NL men)"
MENEDŽ,menedžabli,G,,adj.,manageable
MENEDŽ,menedže,,,v.,manage
MENEDŽ,menedžer,,,n.,manager
MENEDŽ,menedžnis,,,n.,management
MENS,mens,,,n.,month
MENS,mensli,,,adj.,"monthly, mensual"
MENT,ment,,,n.,means
MENTA,menta,,,n.,mind
MENTA,mentali,,,adj.,mental
MENTOL,mentol,,,n.,menthol
MER,mer,G,,part.,more (in comparison)
MER,meri,,,adj.,more
MER,merim,,,adv.,more
MER,mernis,,,n.,majority
MERIT,merit,,,n.,merit
MERIT,merite,,,v.,"merit, deserve"
MERKANT,merkant,,,n.,merchant
MERKUR,Merkur,,,n.,Mercury
MES,mes,,,n.,"mess (confusion, dirt, disorder)"
MESA,mesa,,,n.,"mess (meals taken together; the corresponding room or people, esp. in armed forces)"
MEST,mest,G,,adv.,most (in comparison)
MEST,mesti,,,adj.,most
MEST,mesti ludia,,,n.,most people
MEST,mestlim,,,adv.,mostly
MEST,mestnis,,,n.,maximum
MEŠ,meš,G,,n.,mesh
MET,met,,,n.,measure (standard against which sth. can be judged; cf. mjera)
MET,metabli,,,adj.,measurable
MET,mete,,,v.,measure
MET,metnis,,,n.,"measurement, mensuration"
METAFIZIK,metafizik,,,n.,metaphysics
METAFIZIK,metafizikli,,,adj.,metaphysical
METAFOR,metafor,,,n.,metaphor
METAFOR,metaforli,,,adj.,metaphorical
METAL,metal,,,n.,metal
METAL,metaliki,,,adj.,metallic
METAL,metalurg,,,n.,metallurgist
METAL,metalurgia,,,n.,metallurgy
METAL,metalurgiali,,,adj.,metallurgical
METAMORFOZA,metamorfoza,,,n.,metamorphosis
METAN,metan,,,n.,methane
METASTAZA,metastaza,,,n.,metastasis
METEOR,meteor,,,n.,meteor
METEOR,meteorit,,,n.,"meteorite, meteoroid"
METEOR,meteorolog,,,n.,meteorologist
METEOR,meteorologia,,,n.,meteorology
METOD,metod,H,,n.,method
METOD,metodismo,,,n.,methodism
METOD,metodli,,,adj.,methodical
METOD,metodologia,,,n.,methodology
METR,metriki,,,adj.,metrical
METR,metro,,,n.,meter
MEVA,meva,"G,S",,n.,"mew, seagull"
MID,mid,G,,n.,middle
MID,middej,,,n.,noon
MID,midli,,,adj.,middle
MIDMAR,Midmar,,,n.,Mediterranean Sea
MIDMAR,midmarli,,,adj.,mediterranean
MIDMETLI,midmetli,,,adj.,mediocre
MIDNOX,midnox,,,n.,midnight
MIDNOX,midnoxsomar,,,n.,midsummer
MIKA,mika,,,n.,mica
MIKR,mikri,H,,adj.,tiny
MIKRO,mikro-,,,pref.,micro-
MIKRO,mikrobiologia,,,n.,microbiology
MIKRO,mikročip,,,n.,microchip
MIKRO,mikrofon,,,n.,microphone
MIKRO,mikromikrob,,,n.,microbe
MIKRO,mikroorganismo,,,n.,microorganism
MIKRO,mikroskop,,,n.,microscope
MIKRO,mikroskopli,,,adj.,microscopic
MIL,mil,,,num.,thousand
MILD,mildi,G,(UG=),adj.,mild
MILD,mildnis,,,n.,mildness
MILIET,miliet,,,n.,millet
MILION,milion,,,num.,million
MILION,milionar,,,n.,millionaire
MILITAR,militar,,,n.,military
MILITAR,militaralians,,,n.,military alliance
MILITAR,militarismo,,,n.,militarism
MILITAR,militarli,,,adj.,military
MILK,milk,G,,n.,milk
MIM,mime,,,v.,play-act
MIM,mimer,,,n.,"actor, actress"
MINA,mina,,,n.,mine
MINDER,minder,G,,adv.,less (in comparison)
MINDER,minderi,,,adj.,less
MINDER,minderim,,,adv.,less
MINDER,mindernis,,,n.,minority
MINDEST,mindesti,G,,adj.,minimum
MINDEST,mindestnis,,,n.,minimum
MINDEST,mindestsalar,,,n.,minimum wage
MINERAL,mineral,,,n.,mineral
MINERAL,mineraliki,,,adj.,mineral
MINERAL,mineralog,,,n.,mineralogist
MINERAL,mineralogia,,,n.,mineralogy
MINERAL,mineralvoda,,,n.,mineral water
MINI,mini-,,,pref.,"Small, little"
MINIBUS,minibus,,,n.,minibus
MINISKERT,miniskert,,,n.,miniskirt
MINISTER,minister,,,n.,minister
MINISTER,ministeria,,,n.,ministry
MINISTER,ministeriali,,,adj.,ministerial
MINK,mink,,,n.,mink
MINT,mint,G,,n.,mint
MINUT,minut,,,n.,minute
MIRA,mira,,,n.,myrrh
MISA,misa,,,n.,mass (religion)
MISE,mise,,,v.,send
MISE,miser,,,n.,sender
MISE,mision,,,n.,mission
MISTERI,misteria,H,,n.,mystery
MISTERI,misteriard,,,n.,mystery-monger
MISTERI,misteriozi,,,adj.,mysterious
MIT,mit,G,,conj.,with
MIT,mitdanse,,,v.,"dance with others, join others in dancing, dance along"
MIT,mite,,,v.,join (in)
MIT,mitfakte,,,v.,take part
MIT,mitfare,,,v.,drive with
MIT,mitfere,,,v.,"bring along, bring with"
MIT,mitfeste,,,v.,join the party
MIT,mitfone,,,v.,sound together with other sounds
MIT,mitiki,,,adj.,mythic(al)
MIT,mito,,,n.,myth
MIT,mitologia,,,n.,mythology
MIT,mitprende,,,v.,take with; carry along
MIT,mitsinge,,,v.,sing along
MIT,mitvote,,,v.,"vote with, join the voting"
MIZER,mizer,,,n.,misery
MIZER,mizerabli,,,adj.,"miserable, wretched, sordid"
MJEL,mjel,,,n.,honey
MJERA,mjera,S,,n.,measure (action to achieve some purpose)
MOČAR,močar,S,,n.,marsh
MOD,mod,,,n.,fashion
MOD,modli,,,adj.,fashionable
MODA,moda,,,n.,mode
MODA,modali,,,adj.,modal
MODUL,modul,,,n.,module
MODUL,modulari,,,adj.,modular
MOF,mof,G,,n.,muffle (warm piece of clothing for the hands)
MOJD,mojd,U,,n.,fairy-tale
MOJD,mojdač,,,n.,old wive’s tale
MOKA,moka,,,n.,"Turkish coffee, caffè mocha"
MOKE,moke se,,,v.,mock
MOL,mole,,,v.,grind
MOLEKUL,molekul,,,n.,molecule
MOLEKUL,molekulari,,,adj.,molecular
MOLEST,moleste,,,v.,molest
MOLEST,molestnis,,,n.,molestation
MOLIBDEN,molibden,,,n.,molybdenum
MOLIN,molin,,,n.,mill
MOLIN,moliner,,,n.,miller
MOLO,molo,,,n.,mole (massive structure used as a pier or breakwater)
MOLOT,molot,S,,n.,hammer
MOLUSK,molusk,,,n.,mollusc
MOMENT,moment,,,n.,moment
MOMENT,momentli,,,adj.,momentary
MONARK,monark,,,n.,monarch
MONARK,monarkia,,,n.,monarchy
MONARK,monarkiali,,,adj.,monarchic
MONARK,monarkismo,,,n.,monarchism
MONDAG,mondag,G,,n.,Monday
MONET,monet,,,n.,money
MONET,monetli,,,adj.,"monetary, financial, pecuniar"
MONET,tajm e monet,,,expr.,time is money
MONK,monk,,,n.,"monk, nun"
MONK,monka,,,n.,nun
MONK,monko,,,n.,monk
MONOLIT,monolit,,,n.,monolith
MONSTR,monstriki,,,adj.,monsterous
MONSTR,monstro,,,n.,monster
MONT,mont,,(UG=),n.,mountain
MONT,montia,,,n.,mountains
MONT,montklimer,,,n.,"mountaineer, mountain climber, climber"
MONUMENT,monument,,,n.,monument
MONUMENT,monumentali,,,adj.,"monumenttal (large, grand and imposing)"
MONUMENT,monumentli,,,adj.,monumental (referring to a monument)
MOR,mor,,,n.,moor
MORAL,moral,,,n.,moral
MORAL,moraliki,,,adj.,moral
MORAL,moralismo,,,n.,moralism
MORGENŠTERN,morgenštern,G,,n.,morning star (medieval weapon)
MORGUN,morgun,G,,n.,morning
MORGUN,morgunprandia,,,n.,breakfast
MORGUN,morgunstel,,,n.,morning star (= Venus)
MORGUN,morgunsumrak,,,n.,dawn
MORMON,mormon,,,n.,mormon
MORN,morni,,,adj.,bleak (cheerless)
MORON,moron,,,n.,moron
MORT,mort,,,n.,death
MORT,morte,,,v.,"die, perish"
MORT,morti,,,adj.,dead
MORT,mortinhed,,,n.,"skull (of a dead), totenkopf"
MORT,mortli,,,adj.,deadly
MORT,mortperil,,,n.,danger to life
MOS,mos,G,,n.,moss
MOT,mot,G,,n.,moth
MOTEL,motel,,,n.,motel
MOTIL,motil,S,,n.,butterfly
MOTIV,motiv,,,n.,"reason, cause (cf. rezon, razum)"
MOTOR,motor,,,n.,engine
MOTOR,motorbajk,,,n.,motorbike
MOTOR,motorbark,,,n.,motorboat
MOV,movabli,,,adj.,"moveable, mobile"
MOV,move,,,v.,move
MOV,movnis,,,n.,"move, movement"
MOX,mox,,,adv.,soon
MOX,mox u tardim,,,expr.,sooner or later
MOŽ,možabli,S,,adj.,possible
MOŽ,možablinis,,,n.,possibility
MOŽ,može,,,v.,"can, be able to"
MOŽ,možejsi,,,v.,"could, might"
MOŽ,možnis,,,n.,capacity
MOŽ,možno,S,,adv.,maybe
MUD,mud,G,,n.,courage
MUD,"mudli, mudozi",,,adj.,courageous
MUDAK,mudak,S,,n.,"asshole, shithead"
MUF,muf,G,,n.,muff (short hollow cylinder surrounding an object such as a pipe)
MUJ,muj,,,adv.,very
MULMI,mulmi,G,,adj.,queasy
MULT,multi,,,adj.,many
MULT,multim,,,adv.,much
MULTIPL,multipli,,,adj.,multiple
MULTIPL,multiplike,,,v.,multiply
MULTIPL,multipliknis,,,n.,multiplication
MULTNIS,multnis,,,n.,"amount, quantity"
MUR,mur,,,n.,wall
MUR,mure,,,v.,"build a wall, lay bricks"
MUR,murer,,,n.,mason
MUR,murpapir,,,n.,wallpaper
MURD,murd,,,n.,murder
MURD,murde,,,v.,murder
MURD,murder,,,n.,murderer
MUSK,musk,G,,n.,musk
MUSKUL,muskul,,,n.,muscle
MUSKUL,muskulari,,,adj.,muscular
MUSKUL,muskulozi,,,adj.,musculous
MUT,mut,,,n.,change
MUT,mutabli,,,adj.,changeable
MUT,mute,,,v.,change
MUTIL,mutile,,,v.,mutilate
MUTIL,mutilnis,,,n.,mutilation
MUTIN,mutin,,,n.,mutiny
MUTIN,mutine,,,v.,mutiny
MUTIN,mutiner,,,n.,mutineer
MUZA,muza,,,n.,muse
MUZEA,muzea,,,n.,museum
MUZEA,muzeali,,,adj.,museal
MUZIK,muzik,,,n.,music
MUZIK,muzikal,,,n.,"musical (stage performance, show or film)"
MUZIK,muzikant,,,n.,musician (amateur)
MUZIK,muzike,,,v.,"music, make music"
MUZIK,muziker,,,n.,musician (professional)
MUZIK,muzikli,,,adj.,musical
NA,na,S,,prep.,according to
NA,na di lex,,,expr.,according to the law
NABEL,nabel,G,,n.,navel
NACION,nacion,,,n.,nation
NACION,nacionalismo,,,n.,nationalism
NACION,nacionli,,,adj.,national
NAIV,naivi,,,adj.,naive
NAIV,naivnis,,,n.,naivety
NAJD,najd,G,,n.,envy
NAJD,najdabli,,,adj.,enviable
NAJD,najde,,,v.,envy
NAKT,naktfutli,G,,adj.,barefoot
NAKT,nakti,,(UG=),adj.,naked
NAKT,naktnis,,,n.,nakedness
NARAT,narate,,,v.,tell (a story)
NARAT,narativ,,,n.,narrative
NARAT,naratnis,,,n.,tale
NARK,narke,H,,v.,stun (incapacitate)
NARK,narkotik,,,n.,narcotics
NAS,nas,,(UG=),n.,nose
NAS,nasdrap,,,n.,"handkerchief, tissue"
NASTI,nasti,G,,adj.,"nasty (sexually vulgar, dirty)"
NATNIS,natnis,,,n.,birth
NATNIS,natnisdej,,,n.,birthday
NATNIS,natnisplas,,,n.,birthplace
NATUR,natur,,,n.,nature
NATUR,naturli,,,adj.,natural
NE,ne,,,adv.,"no, not"
NEBUL,nebul,,,n.,"fog, mist"
NEBUL,nebula,,,n.,nebula (astron.)
NEBUL,nebulari,,,adj.,of or pertaining to fog
NEBUL,nebulozi,,,adj.,foggy
